,place_id,name,formatted_phone_number,opening_hours,website
0,ChIJuwk4bUc4yUwR4h2pA8OM76k,Restaurant Cape Cod,(514) 457-0081,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1130'}}], 'weekday_text': ['Monday: 11:30 AM – 12:00 AM', 'Tuesday: 11:30 AM – 12:00 AM', 'Wednesday: 11:30 AM – 12:00 AM', 'Thursday: 11:30 AM – 12:00 AM', 'Friday: 11:30 AM – 12:00 AM', 'Saturday: 11:30 AM – 12:00 AM', 'Sunday: 11:30 AM – 12:00 AM']}",https://facebook.com/pages/category/Seafood-Restaurant/Peters-Cape-Cod-208745625835288/
1,ChIJYUOv8Ww4yUwRVTjswwz5DCQ,Restaurant Dev,(514) 453-1234,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00 AM – 10:00 PM', 'Tuesday: Closed', 'Wednesday: 11:00 AM – 10:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 10:00 PM']}",http://www.restaurantdev.ca/?lang=fr
2,ChIJW5OBlUY4yUwR5oRI42r2iL4,Restaurant La Fondue Du Prince,(514) 457-6278,"{'open_now': False, 'periods': [{'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 5:00 – 11:00 PM', 'Wednesday: 5:00 – 11:00 PM', 'Thursday: 5:00 – 11:00 PM', 'Friday: 5:00 – 11:00 PM', 'Saturday: 5:00 – 11:00 PM', 'Sunday: Closed']}",http://www.lafondueduprince.ca/
3,ChIJwyv24kY4yUwR6TSu5UcKGCk,OLE Tapas,(514) 457-0404,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1400'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 2:00 – 6:00 PM']}",http://oletapas.ca/
4,ChIJVR26m2s4yUwRzIMJ4KdS5aU,Restaurant La Courbe (Cuisine Créole),(514) 901-0816,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1400'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1130'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 11:30 AM – 9:00 PM', 'Wednesday: 11:30 AM – 9:00 PM', 'Thursday: 11:30 AM – 9:00 PM', 'Friday: 11:30 AM – 9:00 PM', 'Saturday: 11:30 AM – 9:00 PM', 'Sunday: 2:00 – 9:00 PM']}",https://www.facebook.com/RestoLaCourbe/
5,ChIJuRv7mEk2yUwRGdGyZvOzLy8,Trattoria Lanni,(450) 455-9300,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 11:00 AM – 10:30 PM', 'Wednesday: 11:00 AM – 10:30 PM', 'Thursday: 11:00 AM – 11:00 PM', 'Friday: 11:00 AM – 11:00 PM', 'Saturday: 5:00 – 11:00 PM', 'Sunday: 5:00 – 11:00 PM']}",https://www.trattorialanni.ca/
6,ChIJfaJ-GbY5yUwRwCd_Jz1m0Hk,Restaurant Aryana Île-Perrot,(514) 425-1238,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1400'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 2:00 – 8:00 PM', 'Wednesday: 11:00 AM – 8:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:00 AM – 8:00 PM', 'Saturday: 11:00 AM – 8:00 PM', 'Sunday: 2:00 – 8:00 PM']}",http://restoaryana.com/
7,ChIJg3hzXnI4yUwRBCnHFYOcB7c,Le Balnéo,(514) 453-5678,"{'open_now': False, 'periods': [{'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1700'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00 – 7:00 PM', 'Thursday: 5:00 – 8:00 PM', 'Friday: 5:00 – 8:00 PM', 'Saturday: 5:00 – 8:00 PM', 'Sunday: Closed']}",http://lebalneo.ca/fr/
8,ChIJuSwHIEQ4yUwRGv7eQB712Ic,Tandoori Bellevue,(514) 457-4141,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 5:00 – 10:00 PM', 'Saturday: 12:00 – 10:00 PM', 'Sunday: 12:00 – 10:00 PM']}",http://www.tandooribellevue.com/
9,ChIJ-WrAoUY4yUwR2CmRg9W9ZkY,Basile Pizzeria,(514) 457-5293,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 11:00 PM', 'Friday: 8:00 AM – 11:00 PM', 'Saturday: 8:00 AM – 11:00 PM', 'Sunday: 8:00 AM – 10:00 PM']}",
