,place_id,name,rating,user_ratings_total,types,business_status,price_level,formatted_address,lat,lng,open_now,photos,plus_code,icon
0,ChIJuwk4bUc4yUwR4h2pA8OM76k,Restaurant Cape Cod,4.0,433.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,"160 Sainte-Anne St, Sainte-Anne-de-Bellevue, Quebec H9X 1M6",45.4042069,-73.9538577,True,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101415338519436233839"">Rene Couturier</a>'], 'photo_reference': 'ATtYBwL1FZSRQgvAA_JVkAzOxaSvnIN-YWKSPK19SoJGAXSgZpDH8qpRcaOXaCRBUfLqnTkkcRULvJvc-Ye3DF3c368uwowlYGpZL2wPVANf2vomR60Q8A6sMIAP3yFklO3zBItCHZvn282ZTbztEzICFfptcnDBlR2qBAUiR2wxLoygYdNy', 'width': 3264}]","{'compound_code': 'C23W+MF Sainte-Anne-de-Bellevue, Quebec', 'global_code': '87Q8C23W+MF'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
1,ChIJYUOv8Ww4yUwRVTjswwz5DCQ,Restaurant Dev,4.5,327.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,1.0,"324 Grand Boulevard, L'Île-Perrot, QC J7V 4X2",45.3926338,-73.960548,False,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105556851144912147250"">Neil Adit</a>'], 'photo_reference': 'ATtYBwIPvCKJaxbrP42xtDWmoFiWRRIA3gbSTJcp5TA5MktHsz5SdmKDm_glL6H5S-E08eLZIcEkF47JYRNZl0Y2In-pCThLtvITHOf7rKOTIy0Amavh9G5BB4rMTuTCMu0B64Od-yFIFz8qCRmFty4n9-1E2lrOYzsr6oTXUGBxjdUC9w9G', 'width': 3024}]","{'compound_code': ""92VQ+3Q L'Île-Perrot, Quebec"", 'global_code': '87Q892VQ+3Q'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2,ChIJW5OBlUY4yUwR5oRI42r2iL4,Restaurant La Fondue Du Prince,4.0,149.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"94 Sainte-Anne St, Sainte-Anne-de-Bellevue, Quebec H9X 1L8",45.4033202,-73.9515517,True,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100079908318516191812"">Vincent Lynch</a>'], 'photo_reference': 'ATtYBwKI-Pc4qzeheUX7QeNjdz4VcEuhLKUL0s5-Sx-1Bkp89NLhrxFIoUpn5lYEp58DuP_PJjEGZUztgk3rgvjx-FoOveBIMgHfi10sFzc2K1NyNaXhnOpGqeN-vxywGoACgg4u4V2bacyOKfHtzJCvY-x0dU4CEnVCKsI7K1EvZEc86Zdw', 'width': 4160}]","{'compound_code': 'C23X+89 Sainte-Anne-de-Bellevue, Quebec', 'global_code': '87Q8C23X+89'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
3,ChIJwyv24kY4yUwR6TSu5UcKGCk,OLE Tapas,4.6,297.0,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"132 Sainte-Anne St, Sainte-Anne-de-Bellevue, Quebec H9X 1M4",45.4039069,-73.9529865,False,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106302333793904990175"">Ernest Westphal</a>'], 'photo_reference': 'ATtYBwKFt6oygIuhK8PBmTTGUxYrz8gc5xzqveu6kY6dplBLn_Mx7WD32auNNEEYD7D3asbnKxHsGBb7yU6LwBBNcUnv8K4vRuirX_32Ul47TEbT6LqJ0TlK80irk8Ks111f8YEqfCCQrCzN0Z8BKmpJ1XK_prSJqamMGaEoZUAp9-0Iz0EU', 'width': 5312}]","{'compound_code': 'C23W+HR Sainte-Anne-de-Bellevue, Quebec', 'global_code': '87Q8C23W+HR'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
4,ChIJVR26m2s4yUwRzIMJ4KdS5aU,Restaurant La Courbe (Cuisine Créole),4.7,113.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"155 Grand Boulevard, L'Île-Perrot, QC J7V 4W9",45.3942436,-73.95796650000001,False,"[{'height': 4008, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108022383726618179688"">Evelyn Ley</a>'], 'photo_reference': 'ATtYBwIP2rNerIlpebAQNmm3WRANy16Uus1zVuPM0fbaDuyFkWfvc_7UKLOBV1VcHwwA3P7FrK11dK1vkEGgT8gGYHatHVCZMuQ0M0fNGD76PcuWdiGJv0aPo_4ecQCeJ0TVzjsAbaVQmsSg3XhUyPZg7aGXVAHQfi1t0VhogUh8sF6tJQaO', 'width': 5344}]","{'compound_code': ""92VR+MR L'Île-Perrot, Quebec"", 'global_code': '87Q892VR+MR'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
5,ChIJuRv7mEk2yUwRGdGyZvOzLy8,Trattoria Lanni,4.4,353.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,"590 Avenue Saint-Charles, Vaudreuil-Dorion, QC J7V 8H2",45.4066689,-74.0349373,True,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103142751602165218450"">Amit Nehil</a>'], 'photo_reference': 'ATtYBwJNiwUPKWjXu8kz89ihGOo3-TlvCeA8xtKwss-CZ8B1lyIdkEhcj_DtuJWlHPjYyO7EE9edAk1feNUHK8uGpjNMyqukh8u2tuzDMS6HeJiFF2IT-ljhcmwvmdxOjMo1VO20o8o0W2akBtL1ZY4Cg_n5OIVQ7si4eaj7t-Posl7Dty8c', 'width': 2448}]","{'compound_code': 'CX48+M2 Vaudreuil-Dorion, Quebec', 'global_code': '87Q7CX48+M2'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
6,ChIJfaJ-GbY5yUwRwCd_Jz1m0Hk,Restaurant Aryana Île-Perrot,4.9,20.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"475 Grand Boulevard unite 26, L'Île-Perrot, Quebec J7V 4X4",45.3873535,-73.9657016,False,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113841869449739041430"">Kaoitar Assine</a>'], 'photo_reference': 'ATtYBwIBefrPNrLa7iN6JBh7RgPtpzwcG_P2MW1Hxl9BzJzEdJVrt8dXth1QfN0_I--3IgApUC_flhs_eOKN2DVwDU16PiFmQMiAGqdhn-hCPiMGHrg3LVsbMTZYLd12flo3KcwxmSttYox6KfXK2yokZ0NtmOrEpvTuo9x0qN6Blg2TVs-u', 'width': 1536}]","{'compound_code': ""92PM+WP L'Île-Perrot, Quebec"", 'global_code': '87Q892PM+WP'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
7,ChIJg3hzXnI4yUwRBCnHFYOcB7c,Le Balnéo,4.6,157.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,"106 Boulevard Don Quichotte Locale 18, L'Île-Perrot, Quebec J7V 6L7",45.3867744,-73.9627197,False,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107265854023418253771"">A Google User</a>'], 'photo_reference': 'ATtYBwIiPOZDVmC30Y-gzUGN-QiYt0St2phI08ciG5Sy3viwFWIVezzYeVTALj968WN-sdzkSwS3MfANpKWt3bFLzWPifY9h92uqi3gw7BrPv9uZPLgOZxVzIGgqxlExG4cS2G3owxVQ97iYMHc66yBEJDtBZ0uJfQB-2y2djyKskYaaJ0Ef', 'width': 2048}]","{'compound_code': ""92PP+PW L'Île-Perrot, Quebec"", 'global_code': '87Q892PP+PW'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
8,ChIJuSwHIEQ4yUwRGv7eQB712Ic,Tandoori Bellevue,4.5,506.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,2.0,"67 Sainte-Anne St, Sainte-Anne-de-Bellevue, Quebec H9X 1L5",45.4033976,-73.9502545,False,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114304999745495184707"">Arun Guggilam</a>'], 'photo_reference': 'ATtYBwJPLadf3dyqCNjG9tPwZyauA0OcCd4thWwZRk4kbLMeErA86MHIE07kqmSnwn74rnjCvaHX0IiezxhhTfksTjJeL6N0KWXOwUVb4ga3NdiwFU1zxAfFXMBM_CKdhOLMDl1U-YLpeQ1cWPIV3gg9xFttnfaXbZOBfrPG0LjFVdca0FxD', 'width': 4032}]","{'compound_code': 'C23X+9V Sainte-Anne-de-Bellevue, Quebec', 'global_code': '87Q8C23X+9V'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
9,ChIJ-WrAoUY4yUwR2CmRg9W9ZkY,Basile Pizzeria,3.9,225.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,1.0,"74 Sainte-Anne St, Sainte-Anne-de-Bellevue, Quebec H9X 1L9",45.4031443,-73.950558,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106660702542991819455"">KeepMoving</a>'], 'photo_reference': 'ATtYBwJFYkb5mfCk7pyZaJBgz8BmRiLkxf1q1bijg0I75qByylvkTu4zYhA1iu0Y9ZLD5XGfQoGkhdmyYGsWG9OICmwdWAG_KkFclkE_yVyTW_sW6FqSnd4EtALUN3qCB9Fo-r2A9g3OvnWOtbyYZHNx-r8RPaP_i1_kUJks7oKej5vBV7iJ', 'width': 3024}]","{'compound_code': 'C23X+7Q Sainte-Anne-de-Bellevue, Quebec', 'global_code': '87Q8C23X+7Q'}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
