user_url,user_name,user_city,user_rating,user_review
/user_details?userid=_h90DPyhfp5048wR9eF92w,Kat A.,"Toronto, Canada",5 star rating,"Wowwowowww! Im at a loss for words. Gyu-Kaku is amazing. We ordered the Chef's Favourite with some substitutions. Here's the menu: Miso SoupBibimbapGyu-sushi (they didn't have so they subbed Octopus Balls) Gyu-Kaku salad Kalbi Short RibSkirt SteakFilet MignonRibeyeShiro Cabbage Chicken Thighs Shrimp GarlicBroccoli with Cheese OMG. Everything, I mean everything was just top-notch. Our favourite was the different steaks with rib eye coming at number 1! We also loved the shrimp. What was most surprising was the Salad. We are definitely not salad eaters but the dressing was amazing and it actually had more than just lettuce, they added boiled eggs and cucumbers. Delicious. Other items we really enjoyed were the Bibimbap and Yokotaki (octopus balls). Flavours were so great! It was about $115 which in my opinion was totallt worth it. They are also very helpful in explaining how long to cook the meat for and related safety precautions. COVID: they are very serious which is exactly what I want when going to a restaurant nowadays. You have to reserve before coming. They check your temperature and ask you to sanitize before going in. They have very limited seating too. We saw about 5 tables and they are far apart. Other tables are not used at all. All servers are wearing masks and enforce it when you get up from the table."
/user_details?userid=LiD311vn_95gf_IJYjrjuA,Dawei L.,"Quebec City, Canada",5 star rating,"First time eating out since March, goodness I missed having Japanese cuisine.Ordered the 84$ course. It came with meats like filet mignon, new york steaks and a fee other kind of beef which I can't quite remember the names. The meats are well seasoned and are extremely tender and delicious as long as you make sure not to cook it pass medium. Personaly, I like having it medium rare to make it tender and juicy. The course also came with a salade which was nice. The course also came with a chicken karaage. It was perfectly fried to the perfect crunchyness. Covid-19 measures: The restaurant will check your temperature before been seated which I think was an important measure to make sure everyone is safe. The each next seat is closed to unsure minimum distance between each table. Chopsticks, napkins and ustinsil are one time use. Soy sauce, vinaiger and spicy sauce are packed in one time use small plastic cups."
/user_details?userid=UgAl1BXZjJWUAdvVixwhew,Eden L.,"Montreal, Canada",4 star rating,"I had a delivery. I ordered two bowl one beef rice and one build you own bento.  The rice bowl came with miso soup or salad. The bento came with two meats and two side dishes and both soup and salad. I chose fired chicken and octopus ball. The soup was tasty. The beef bowl has more favour. The bento meat should be dipped in the sauce which comes with the delivery. Two sauces were tasty, good for the rice too. I like everything except the salad. The quality of the salad was bad and I found mould on the cherry tomato."
/user_details?userid=7PTwhPEM7VWclYIS_1dSiw,Jéssica C.,"Montreal, Canada",5 star rating,"Such an amazing experience at Gyu-Kaku! The food was absolutely delicious, me and my BF got the 55$ menu meant for 2 people and we were very happy with everything we got! That combo is a mix of different type of high quality meat, salads and vegetables, bimbimbab and miso soup.The service was great, our waitress was very friendly and attentious. The music was very upbeat and overall we really loved the place. Recommend!"
/user_details?userid=-8nmj3B-tfY_vFiimtBOsw,Sanaz N.,"Laval, Canada",5 star rating,"I was meeting a friend downtown for supper, I told her to pick a place. She brought us here. I was a bit worried, first because I don't like Asian food in general, second I couldn't quite understand the concept of cooking your own food. Anyways, I went along. We had reservations at 7:45 but got there really early 6:30. The waitress was kind enough to accommodate us and give us a table. Our waiter came by and quickly explained the concept. Basically you ordered what you want from the menu (veggies, meat, poultry, seafood) they bring it raw and you BBQ it yourself. We ordered beef toro, yaki shabu beef and chicken thigh. We also ordered a gyu-kamu salad, which was mixed greens with cucumber, red peppers tomato and eggs. With an egg dressing.  The waiter was very kind and attentive, brought us the different dishes, turned on the bbq, put some oil on and we were ready to grill. The meat is cut very thin so it cooks very quickly, chicken takes 4-5 min to cook which the waiter tells us in advance. I loved the marinate, service was impeccable, our glass of water was never empty. If the grill gets to burnt you just tell the waiter and he changes the grill.You can even make your own s'mores, they bring you marshmallows, Hershey chocolate and the cookies.  We had some tea at the end of our meal which help digestion.A great experience for my first time, I will be definitely coming back"
/user_details?userid=M7vDDzoPNQDN2FdTcwCq4A,Eric W.,"Hartford, CT",5 star rating,"In Montreal on business and we need lunch! My coworker and I just flew in then I spotted Gyu-Kaka on Yelp with some excellent reviews so we decided to stop in!Atmosphere/Appearance: Right off of a busy side street with some low-key signage out front is this place. Inside is so modern. It's chic, but definitely has an upscale oriental feel. The tables are so spaced out, there's a cool uneven brick pattern, there's graffiti, I mean each section of the restaurant has its own personality. I loved it.Service: Lauren took excellent care of us. She was quick, helpful and got us everything that we needed. Phillip aided her and was also a big help when teaching us how to grill certain items.Food: So this is one of those infamous Korean BBQ places where you cook your own food right on a grill built into the table. We came on a Monday which is all-day happy hour! How awesome is that?! So for one set price (per person) you get miso soup, a Gyu-Kaka Salad, Beef Sukiyaki Bibimbap and steamed dumplings to share. That was plenty of food already, but then comes the good stuff! You get hanger steak, filet mignon, Yaki-Shabu beef, Toro beef, chicken thighs and vegetables to grill up. Everything was so delicious and tasty. The portions were good and I had no complaints.Value: (All prices in CAD$.) So happy hour is only $55.00 per person but it's about $74.50 worth of food and I'd totally agree. Everything you need comes all included. You can't beat it!In conclusion I absolutely loved this place and am happy we ran into it. I'd totally come back to try out happy hour or even once of the bigger dinners in the future!"
/user_details?userid=spU_FM_BDJ8CeZYsfuWo6g,Nancy H.,"Sainte-Anne-de-Bellevue, Canada",4 star rating,"Been here on 2 occasions. First time was with 3 others. 2 people ordered a la carte, while myself and another got the kabuki menu. It is written intended for 3 people but my dining partner said he'd heard the servings were small, so it'd probably be fine for the 2 of us (this was an incorrect assumption lol. We had extra).The kabuki menu came with salad and fried calamari to start. The salad had a sesame dressing, cabbage, cucumber, tomatoes, greens, and egg. It was refreshing and crisp, no complaints. The squid was cruncy and tender and had a spicy mayo dip. Then we got grilling! It's a japanese style grill, with a mesh like surface and what looks like charcoal below. The servers brush it with oil and give you a rundown of how to time your meats. They advise you not to cook too many things...the heat doesn't seem to be that strong so if you crowd it, things will take forever. Being the impatient and scatterbrained and hangry people we were, we just left things on the grill for an arbitrary time until they were cooked through. The beef was very good, properly marinated and tenderized. The chicken and pork were very enjoyable as well and not at all too spicy. The shrimp were great! I really liked the garlic marinade. The veggies definitely needed more time though. I think doing one packet at a time would be better.The next time I went with one other person. We got the meat lovers set for 65. The miso soup was very good, much better than the standard ones you gt with sushi sets, and had seaweed and tofu in it. The salad was still good. The fried chicken was very tender and moist but quite boney, and you might find the texture unusual if you're used to chicken breast. Of the meats, I loved the super fatty beef toro the most. That marbling was great, with just a quick char on the grill. It came with a dipping sauce that tasted like mirin and soy. The other beef was goood too, though I didn't like the filet mignon that much. Too much white pepper. The mushrooms and broccoli took a while to cook, and had a butter sauce which was pretty yum. There was also a beef bibimbap, which was mixed tableside in a hot stone bowl. The rice was very good, though quite salty, and the beef rather sweet. As a bonus for checking in, we also got free spring rolls! These were properly crispy and hot. The dipping sauces provided include ponzu, sweet soy, and spicy. My faves were the last 2.Service was very good the first time I went, with our grills changed frequently and water refilled. The second time was a bit lacking. The restaurant was nearly empty and there weren't many staff, which is understandable since this was during the beginning of the outbreak. The staff told us about the happy hour deals which sounded fantastic! I think I'll definitely return. It's a bit pricey normally, probably around 40pp without drinks, but happy hour specials are much cheaper!"
/user_details?userid=MWCPUFk-fnNXehPosCtwHA,Geneviève F.,"Montreal, Canada",4 star rating,This is one of the nicest asian bbq places I've found in Montreal.  The 'cook your own' formula is always pleasant. Great selection of meats and vegetables to choose from. I do think however there must be better meat than what was recommended by staff so I'll have to be back to discover  the gems on the menu. Pleasant atmosphere and staff. Cheers!
/user_details?userid=oW9PoxLCSMwZ6EEjKuPNjw,Aimee H.,"Montreal, Canada",4 star rating,"There are over six hundred Gyu-Kakus in Japan so I say, if it's good enough for the Japanese--it's good enough for me! The first time I went, it was for the happy hour which starts after 9pm.  We had gone earlier but they were full so we took the earliest table available which was at 9. The second time I went, I took a reservation online so we had a chance to eat at a normal supper time! First thing you'll notice is how friendly the staff are. From the hosts at the front to the servers...we had 3 come by and ask us if we wanted to order anything. We went for the Regular Meat Lovers for 2. Listen, there is a reason why the better meats cost more--it's cause they just taste so much damn better!! Here's how I ranked the meats in terms of taste and texture (before I looked at the price) and you'll see the trend:1) Kalbi Chuck Rib $8.502) Bistro Hangar Steak $103) Yaki-Shabu $5.504) New York Steak $8 but to be fair, I overcooked it so that's why it's ranked lower. If it were done just right, I think it would've taken 3rd place!5) Toro Beef $6 it was super tendony... Had to pull while taking a bite.6) Spicy Pork $5.50 it was way too spicy for me!!Maybe next time, I'll try the premium meat lover combo.  The salad is really refreshing and we saved half of it for after the meats to balance out the meal after all that grilling.Also don't be like me and overcook the meat! Instead, refer to the Grill Guide in the middle of the menu to know where and how much time to cook each item!!I really, really liked the fried chicken karaage. It was fried so light and crispy it puts Colonel Sanders to shame cause most of the times I get KFC, the chicken skin be soggy with oil.Black sesame ice cream is so yummy. I prefer it over green tea which is so...pedestrian (at least in Asia)! Anyway, it is a touch pricey considering the volume of meat you get and that you gotta cook your own food but otherwise, it's a good accessorized meal that is sure to fill you up :p"
/user_details?userid=CzgZt_C31sorjhGF4Wvqeg,Susan T.,"Toronto, Canada",4 star rating,"We made reservations for 7:30 for a Friday night. There were three of us so we ordered the three person BBQ course. There was a lot of food and if your party is not meat lovers or can't eat a lot then I would suggest ordering the two person course for three people. Overall, the food was good and service was good. They kept coming around to change our grill which was nice."
