biz_id,rev_id,time,user,rating,text
0W4lkclzZThpx3V65bVgig,DLG6BSxz2pa7qMFQCyjg6g,2020-12-30 13:12:06,"{'id': 'lxGwbMkC_I9D7GhGT23mFQ', 'profile_url': 'https://www.yelp.com/user_details?userid=lxGwbMkC_I9D7GhGT23mFQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/i0YO7THJ41DL1p-LW-tLmg/o.jpg', 'name': 'Cynthia L.'}",5.0,"Went here pre-covid with my bf and best friend as well as her husband and enjoyed some delicious smoked meat, pickles and french fries. The place is a..."
0W4lkclzZThpx3V65bVgig,Erk_8Hm-7mKMMY1vUfhIcA,2020-07-24 17:07:16,"{'id': 'IMHvG_ysz6akYIM-GO18kg', 'profile_url': 'https://www.yelp.com/user_details?userid=IMHvG_ysz6akYIM-GO18kg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/6RQbQrcNRVNq7BaMWlScew/o.jpg', 'name': 'Andrea D.'}",5.0,"*home delivery review* 

Amazing. Literally tastes exactly like what you get at the restaurant, minus the long lines!! 

Price is very fair, and the quality..."
0W4lkclzZThpx3V65bVgig,1--VCXehc7mtBaOxnWu2lQ,2020-08-08 13:21:07,"{'id': 'DlNz5SxdBYRaZ_pnyIxn6g', 'profile_url': 'https://www.yelp.com/user_details?userid=DlNz5SxdBYRaZ_pnyIxn6g', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Q3DK99Oze2z1oNA6tRKtPg/o.jpg', 'name': 'Rhonda B.'}",5.0,"I must add a disclaimer to this review since I've been eating at Schwartz's for over 50 years. There have been times while eating there, my medium-lean..."
K7szuaFnuV6nz4w_i-bLPg,WtnaItEUDFT2JdIAcH2ZJA,2020-12-06 18:59:29,"{'id': '41kMyI1BfOTyIIAenUSaTQ', 'profile_url': 'https://www.yelp.com/user_details?userid=41kMyI1BfOTyIIAenUSaTQ', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/1lK-OvI4ZAqbmACMGzX8OA/o.jpg', 'name': ""D'Arcy L.""}",5.0,Still my fave chicken- fries- salad cheap eats of MTL. The vibe is different. Covid has made it a much more sterile experience as it is takeout only. It is...
K7szuaFnuV6nz4w_i-bLPg,kIJQ1A1RsPD3EYuIlo6T3w,2020-07-16 18:42:53,"{'id': '3qMeM2IZP1L_E-aI08-0xw', 'profile_url': 'https://www.yelp.com/user_details?userid=3qMeM2IZP1L_E-aI08-0xw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/ESyDwQRjo8oGH6rjfbVNRQ/o.jpg', 'name': 'Vi L.'}",5.0,"This place is AMAZING. 

The moment you walk by the outside of the restaurant you can already smell how delicious the food is going to be.

We shared a..."
K7szuaFnuV6nz4w_i-bLPg,PwCZm1HSVKT7iP0WYOSx6w,2020-07-13 20:16:02,"{'id': 'hF3zr8snmxb5pwa2_9bnlQ', 'profile_url': 'https://www.yelp.com/user_details?userid=hF3zr8snmxb5pwa2_9bnlQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/5ih1nhsuOlm4d3eRjdxFsw/o.jpg', 'name': 'Gabriella F.'}",5.0,"So this is going to be hella controversial but this place has the BEST POUTINE IN MONTREAL aka the world.
It's all I've ever gotten here so that's all I can..."
EpAXhhvS-8U9aG2LlAr5WA,Ki2mfUC2hMAjcvza0d7o0g,2020-09-15 07:11:37,"{'id': 'q7a5NR0Tj6PNIjWxmQjLoQ', 'profile_url': 'https://www.yelp.com/user_details?userid=q7a5NR0Tj6PNIjWxmQjLoQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/W26UYbqo8Gyq508f4a9KyQ/o.jpg', 'name': 'Lucy G.'}",5.0,"This is by far my favourite date spot. 
Friendly and efficient staff, great selections of beers, ciders, and cocktails. The food is snack/share style. LOVED..."
EpAXhhvS-8U9aG2LlAr5WA,jr4kOGyPoYoCf1LOAGVv0Q,2020-02-17 16:43:58,"{'id': 'jqqB8hWF8kIrv2-qWt23xg', 'profile_url': 'https://www.yelp.com/user_details?userid=jqqB8hWF8kIrv2-qWt23xg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/bzsXBEsKEIRp8rcXUA91Zg/o.jpg', 'name': 'Kristen L.'}",5.0,"If you're in Montreal and want to have an exceptional meal that isn't poutine, I would highly recommend Le Majestique. It is a very unpretentious spot,..."
EpAXhhvS-8U9aG2LlAr5WA,T-iE6RL0nruw7QdioUv3VQ,2020-08-18 21:09:09,"{'id': 'NilrQC1Lq7t2O1u_54sINQ', 'profile_url': 'https://www.yelp.com/user_details?userid=NilrQC1Lq7t2O1u_54sINQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/WAi9LZV0oOAiojN3qE9MNQ/o.jpg', 'name': 'Audrey L.'}",4.0,"This eclectic bar doesn't seem like the place you'd have a good meal, but I was surprised. Sure, we knew the drinks would be stellar (it just LOOKS like the..."
yU3p0tEBtGuZLTcsBHw9uQ,3eZr568fFhgbRqr5UgmLVg,2020-09-10 09:30:51,"{'id': 'vTsbejwscDEdA3Ao_aIQMg', 'profile_url': 'https://www.yelp.com/user_details?userid=vTsbejwscDEdA3Ao_aIQMg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/C7cF7QHa0WZEcp-Xg0SWtg/o.jpg', 'name': 'Lawrie S.'}",5.0,"I know I'm late to the show, this place has been on my list of brunch places for years and I finally made it. It definitely measures up to the hype! Call..."
