biz_id,rev_id,time,user,rating,text
NSbVtd0lzORHV7NaubG9Pg,TcdfECBle3S20RhgDvd4dw,2020-08-30 11:30:46,"{'id': '50DaCXl1VqnOrXwCH9oAdA', 'profile_url': 'https://www.yelp.com/user_details?userid=50DaCXl1VqnOrXwCH9oAdA', 'image_url': None, 'name': 'Ilikefood L.'}",5.0,"Pre-COVID visit, now I'm just writing reviews to fill up the time.

Everything was delicious.  I remember only the poutine at this point.  Unlike others,..."
NSbVtd0lzORHV7NaubG9Pg,gP5Hs0dmH9HEv9DxipFcIQ,2019-12-26 17:55:39,"{'id': 'TejIW9rZaH6tWmKGSXP9nw', 'profile_url': 'https://www.yelp.com/user_details?userid=TejIW9rZaH6tWmKGSXP9nw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/vxKER7IEKK7n3pu9j8JXHA/o.jpg', 'name': 'Winnie N.'}",5.0,"Came here because my bf wanted some exotic food and we definitely got that here in La Bûche.

The meat pie was a mixed of deer meat and beef; it was..."
NSbVtd0lzORHV7NaubG9Pg,oWW-kowodWpy-wTlJ3p_2Q,2020-09-26 21:38:47,"{'id': 'JpVRcAZDdhCHogeA8bJx8A', 'profile_url': 'https://www.yelp.com/user_details?userid=JpVRcAZDdhCHogeA8bJx8A', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/IR-4zpXSLoJCpwOu5hV5YA/o.jpg', 'name': 'Sophie F.'}",5.0,A must go for Quebecois food! Delicious Pate Chinois (Shepard pie). They have braised rabbit and rabbit wings which are their featured dishes. And the sugar...
uxrvc9CYDJhDUqiXNVWmww,EEQ3bS3BanteVdz9By9JnQ,2020-09-28 16:19:00,"{'id': 'HV6pgnVdongJWet-dUjSpQ', 'profile_url': 'https://www.yelp.com/user_details?userid=HV6pgnVdongJWet-dUjSpQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/fRtFfj-5HjzEBz-Jvz87Vw/o.jpg', 'name': 'Gokul M.'}",5.0,"Really unique and solid experience. Coming from Toronto I haven't come across a restaurant such as this which feels very intimate. 

Menu will be explained..."
uxrvc9CYDJhDUqiXNVWmww,vFCcwUTX6tPhUobaMjK1LQ,2019-07-25 18:27:39,"{'id': 'HjyML4u5LCKXMrzx_FQPKw', 'profile_url': 'https://www.yelp.com/user_details?userid=HjyML4u5LCKXMrzx_FQPKw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/UBQ1dM5W13bj8g1cCN6d1Q/o.jpg', 'name': 'Deb D.'}",5.0,It's true only 2 seatings each evening. They fill up the place - about 8-9 tables - and it feels like a group dining experience with everyone. We were...
uxrvc9CYDJhDUqiXNVWmww,Y2zAHTNDNDAhJKA6UWenJw,2019-07-22 18:13:33,"{'id': 'n0-UByYRadThzgBtB1a6eQ', 'profile_url': 'https://www.yelp.com/user_details?userid=n0-UByYRadThzgBtB1a6eQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/ajyXgTg06g4KVEVUfh0BNA/o.jpg', 'name': 'Courtney J.'}",4.0,I was dying to come here on my first trip to Quebec. I made reservations 2 months in advance. There are only two seatings per night: 6:30 PM and 8:30 PM. No...
_6i1Xi40PO3mPQgqzpU34Q,HwiFCJuX84oGYAiKuHgQyA,2019-12-25 07:44:43,"{'id': 'rqHVki5rKC4sc_Z8Q6pJTw', 'profile_url': 'https://www.yelp.com/user_details?userid=rqHVki5rKC4sc_Z8Q6pJTw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/S38-sDxzE_FVM5uSteOH5g/o.jpg', 'name': 'Richard C.'}",5.0,"OMG!  The best of all the quaint French Bistro/Restaurants in Quebec.  Everything was fantastic.

We had the Roasted Pork and Streak Frites!  Both were..."
_6i1Xi40PO3mPQgqzpU34Q,_MB9qDunVSVikPPyiO5tyQ,2020-02-24 18:12:07,"{'id': 'ScQP4J1Npxyk4m6upl4JLA', 'profile_url': 'https://www.yelp.com/user_details?userid=ScQP4J1Npxyk4m6upl4JLA', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/NpNAs5yQj3RLIZBtyxK3VA/o.jpg', 'name': 'Amy W.'}",4.0,My friends and I took a trip up to Quebec and this was our first meal after arriving and checking in to our stay! I had called earlier in the day to make a...
_6i1Xi40PO3mPQgqzpU34Q,f4eiHAcGTqcUcEm-lfzgpw,2020-02-02 12:00:12,"{'id': 'z5soJa3biA6Vd8f7NCwT3g', 'profile_url': 'https://www.yelp.com/user_details?userid=z5soJa3biA6Vd8f7NCwT3g', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/TzE9r4nsCKH62Rva-Va8Xw/o.jpg', 'name': 'Roxie G.'}",3.0,The menu photos posted on Yelp is outdated. They don't have foie gras or tartare anymore. We basically ordered based on what the waiter told us what's...
Rvdr4-J6rJcw9kSxLq87BA,W8I1aGFFhOkrBBOkHA-UTA,2020-08-30 13:50:34,"{'id': 'TBJXsWwL7CQ1FVb8OB89rA', 'profile_url': 'https://www.yelp.com/user_details?userid=TBJXsWwL7CQ1FVb8OB89rA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/5O7HOfmfQlktTrD1cJ7IrQ/o.jpg', 'name': 'Jassy M.'}",5.0,This place was amazing. Get the duck confit with eggs Benedict it is the perfect balance between thin crispy well seasoned crepe and moist duck confit with...
Rvdr4-J6rJcw9kSxLq87BA,dFIeC_9Ni4fQpTJyLQSGhg,2019-12-22 12:51:38,"{'id': 'C2uPDBzST_e1RBLDmgRtWg', 'profile_url': 'https://www.yelp.com/user_details?userid=C2uPDBzST_e1RBLDmgRtWg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Ig6f6wG2nZgqyVSUWXAR4w/o.jpg', 'name': 'Ross W.'}",5.0,"LOVE their onion soup.  We had onion soup for 3 consecutive days in different restaurants, and their version is the best, with the perfect amount of cheese..."
Rvdr4-J6rJcw9kSxLq87BA,CGi6rL_GJcjKz_tZqonHFQ,2019-12-29 04:12:17,"{'id': 'rKWHDF1C8jqlFP7Q7pyEdA', 'profile_url': 'https://www.yelp.com/user_details?userid=rKWHDF1C8jqlFP7Q7pyEdA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Nkdav1_F3IgL2ct03lb1Bg/o.jpg', 'name': 'Dan W.'}",5.0,I visited on a Sunday morning as a party of two without reservation and were immediately sat. This place has an awesome vibe. It's a creperie and also a...
SEFfpZihRMHNr7F7QDKzAA,7lM1ECkny-o3f4zswAR2RQ,2019-08-26 19:42:22,"{'id': 'X4ZbmRxWPU1_pHHy5gbMEw', 'profile_url': 'https://www.yelp.com/user_details?userid=X4ZbmRxWPU1_pHHy5gbMEw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/IKt8TGbYyY4CFJuzcdDAcA/o.jpg', 'name': 'Mary Michele N.'}",5.0,We walked in around 5:30 on a Friday night and were met with a friendly 'bon jour' when they realized we didn't speak French they were very accommodating....
SEFfpZihRMHNr7F7QDKzAA,VhRjOyCONZ_KDclefHHAAQ,2020-08-29 19:28:48,"{'id': 'TBJXsWwL7CQ1FVb8OB89rA', 'profile_url': 'https://www.yelp.com/user_details?userid=TBJXsWwL7CQ1FVb8OB89rA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/5O7HOfmfQlktTrD1cJ7IrQ/o.jpg', 'name': 'Jassy M.'}",3.0,Let me start off by saying I did not realize this was a tapas place...which is my own fault. The food was good not amazing. What I disliked the most was the...
SEFfpZihRMHNr7F7QDKzAA,DVcr70a1_rlPvNJUjqFaTg,2019-07-31 17:40:43,"{'id': 'EOajY1L3ole3gLTCZ2xw1g', 'profile_url': 'https://www.yelp.com/user_details?userid=EOajY1L3ole3gLTCZ2xw1g', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/Xdg3lK0BcrN87aXBBQSFeg/o.jpg', 'name': 'Jack M.'}",4.0,"Considering this is one of the top rated Yelp joints in Canada, I wasn't really feeling that it lived up to that standard. While the entree options were..."
